Indicativ,Judet,M_Urban,F_Urban,M_Rural,F_Rural
AB,Alba,3.692,3.538,5.538,5.231
AR,Arad,3.659,3.415,2.927,2.683
BC,Bacau,4.31,4.138,5.172,5.0
BH,Bihor,4.0,3.818,3.636,3.455
BV,Brasov,5.455,5.273,2.727,2.545
CJ,Cluj,6.429,6.143,2.857,2.714
CT,Constanta,5.079,4.921,2.857,2.698
DJ,Dolj,4.531,4.369,4.045,3.883
GJ,Gorj,3.226,3.065,3.871,3.71
HR,Harghita,2.667,2.5,4.333,4.167
IS,Iasi,5.0,4.75,5.625,5.375
IF,Ilfov,3.333,3.111,5.556,5.333
MM,Maramures,3.556,3.444,4.0,3.889
MS,Mures,3.585,3.396,3.962,3.774
OT,Olt,2.75,2.625,5.5,5.25
PH,Prahova,4.429,4.286,4.714,4.571
SB,Sibiu,4.25,4.125,3.5,3.375
SV,Suceava,4.333,4.167,6.333,6.167
TM,Timis,5.0,4.857,2.714,2.571
TL,Tulcea,4.0,3.75,4.5,4.25
VS,Vaslui,3.514,3.243,7.838,7.568
VN,Vrancea,2.812,2.656,4.688,4.531
