Siruta,Localitate,Cifra de afaceri
1001,Bucuresti,4010000
1002,Cluj-Napoca,1860000
1003,Timisoara,2000000
1004,Iasi,1395000
1005,Constanta,1630000
1006,Brasov,1650000
1007,Craiova,1390000
1008,Ploiesti,1792000
1009,Galati,1205000
1010,Oradea,1020000
1011,Mioveni,1217000
1012,Sibiu,1050000
1013,Bacau,700000
1014,Arad,985000
1015,Pitesti,1055000
1016,Targu Mures,955000
1017,Baia Mare,685000
1018,Buzau,560000
1019,Botosani,430000
1020,Satu Mare,540000
1021,Cernavoda,930000
1022,Sebes,490000
1023,Sinaia,100000
1024,Floresti,195000
1025,Voluntari,300000
1026,Navodari,470000
1027,Copsa Mica,191000
1028,Otopeni,158000
1029,Mangalia,235000
1030,Vaslui,270000
