Siruta,Localitate,Activitate
1001,Bucuresti,CalculatoareElectronica
1002,Cluj-Napoca,CalculatoareElectronica
1003,Timisoara,CalculatoareElectronica
1004,Iasi,CalculatoareElectronica
1005,Constanta,Energetica
1006,Brasov,ConstructiiMasini
1007,Craiova,ConstructiiMasini
1008,Ploiesti,ChimicaFarmaceutica
1009,Galati,Metalurgica
1010,Oradea,Alimentara
1011,Mioveni,ConstructiiMasini
1012,Sibiu,ConstructiiMasini
1013,Bacau,Alimentara
1014,Arad,ConstructiiMasini
1015,Pitesti,ConstructiiMasini
1016,Targu Mures,ChimicaFarmaceutica
1017,Baia Mare,Metalurgica
1018,Buzau,Metalurgica
1019,Botosani,Alimentara
1020,Satu Mare,Alimentara
1021,Cernavoda,Energetica
1022,Sebes,Lemnului
1023,Sinaia,Alimentara
1024,Floresti,Alimentara
1025,Voluntari,Alimentara
1026,Navodari,ChimicaFarmaceutica
1027,Copsa Mica,ChimicaFarmaceutica
1028,Otopeni,CalculatoareElectronica
1029,Mangalia,ConstructiiMasini
1030,Vaslui,Alimentara
