Judet,Alimentara,Textila,Lemnului,ChimicaFarmaceutica,Metalurgica,ConstructiiMasini,CalculatoareElectronica,Mobila,Energetica
AB,20000,15000,250000,10000,30000,60000,15000,40000,50000
AG,145000,35000,22000,130000,170000,1350000,110000,30000,280000
AR,150000,50000,25000,45000,130000,290000,90000,55000,150000
B,950000,120000,50000,450000,200000,300000,990000,150000,800000
BC,140000,40000,35000,50000,80000,110000,70000,45000,130000
BH,200000,55000,40000,80000,110000,130000,140000,75000,190000
BT,90000,75000,15000,20000,40000,50000,35000,25000,80000
BV,300000,40000,80000,90000,250000,350000,200000,120000,220000
BZ,110000,35000,15000,40000,120000,80000,40000,20000,100000
CJ,390000,55000,35000,160000,105000,130000,870000,75000,235000
CT,335000,35000,18000,707000,210000,305000,190000,40000,1425000
DJ,220000,30000,15000,50000,100000,550000,120000,25000,280000
GL,190000,25000,20000,40000,550000,150000,60000,20000,150000
IF,85000,20000,13000,35000,45000,60000,100000,25000,75000
IS,280000,60000,15000,200000,90000,80000,450000,40000,180000
MM,100000,20000,60000,30000,150000,70000,50000,95000,110000
MS,120000,25000,50000,250000,60000,90000,110000,80000,170000
PH,215000,50000,20000,602000,185000,260000,98000,47000,415000
SB,165000,36000,27000,180000,180000,285000,182000,31000,155000
SM,95000,40000,30000,25000,60000,90000,40000,70000,90000
TM,400000,80000,30000,120000,150000,400000,500000,70000,250000
VS,70000,35000,15000,10000,25000,30000,20000,15000,50000
